"Index","Open","High","Low","Close","Volume","Adjusted"
2009-11-04,102.220001,102.980003,102.220001,102.980003,2,102.980003
2009-11-05,101.959999,103.730003,101.959999,103.730003,2,103.730003
2009-11-06,103.610001,103.790001,103.190002,103.790001,38,103.790001
2009-11-09,105.139999,106.330002,105.139999,106.330002,2,106.330002
2009-11-10,106.43,106.43,106.080002,106.080002,2,106.080002
2009-11-11,106.860001,107.099998,106.860001,107.099998,2,107.099998
2009-11-12,106.699997,106.860001,106.699997,106.860001,2,106.860001
2009-11-13,106.610001,107.139999,106.32,107.139999,5,107.139999
2009-11-16,109.160004,109.160004,109.160004,109.160004,1,109.160004
2009-11-17,108.989998,108.989998,108.919998,108.919998,2,108.919998
2009-11-18,109.459999,109.459999,109.080002,109.080002,2,109.080002
2009-11-19,108.82,108.82,107.470001,107.470001,2,107.470001
2009-11-20,107.800003,107.800003,106.419998,106.419998,2,106.419998
2009-11-23,107.769997,108.900002,107.769997,108.900002,2,108.900002
2009-11-24,108.050003,108.330002,108.050003,108.330002,2,108.330002
2009-11-25,109.379997,109.379997,109.029999,109.029999,2,109.029999
2009-11-26,108.099998,108.099998,105.639999,105.639999,2,105.639999
2009-11-27,103.639999,106.809998,103.639999,106.809998,280,106.809998
2009-11-30,107.349998,107.349998,105.889999,105.889999,2,105.889999
2009-12-01,107.120003,108.540001,107.120003,108.540001,612,108.540001
2009-12-02,108.519997,108.519997,108.470001,108.470001,2,108.470001
2009-12-03,109.489998,109.489998,108.290001,108.290001,2,108.290001
2009-12-04,107.879997,109.18,107.879997,109.18,2,109.18
2009-12-07,108.709999,108.720001,108.709999,108.720001,2,108.720001
2009-12-08,108.32,108.32,106.93,106.93,2,106.93
2009-12-09,106.959999,106.959999,106.190002,106.190002,2,106.190002
2009-12-10,106.400002,107.120003,106.400002,107.120003,2,107.120003
2009-12-11,108.089996,108.260002,108.089996,108.260002,2,108.260002
2009-12-14,109.459999,109.459999,109.120003,109.120003,80,109.120003
2009-12-15,109.510002,109.510002,109.239998,109.239998,2,109.239998
2009-12-16,109.330002,110.769997,109.330002,110.769997,2,110.769997
2009-12-17,110.150002,110.150002,109.809998,109.809998,2,109.809998
2009-12-18,110.139999,110.139999,109.559998,109.559998,2,109.559998
2009-12-21,110.449997,111.25,110.449997,111.25,2,111.25
2009-12-22,111.639999,111.690002,111.639999,111.690002,30,111.690002
2009-12-23,112.080002,112.080002,111.720001,111.720001,2,111.720001
2009-12-24,NA,NA,NA,NA,NA,NA
2009-12-28,112.629997,112.629997,112.610001,112.610001,2,112.610001
2009-12-29,112.790001,112.790001,112.769997,112.769997,2,112.769997
2009-12-30,112.599998,112.599998,111.900002,111.900002,2,111.900002
2009-12-31,NA,NA,NA,NA,NA,NA
2010-01-04,112.639999,113.660004,112.639999,113.660004,2,113.660004
2010-01-05,113.309998,113.309998,113.300003,113.300003,2,113.300003
2010-01-06,113.459999,113.459999,113.440002,113.440002,2,113.440002
2010-01-07,112.849998,113.279999,112.849998,113.209999,2350,113.209999
2010-01-08,113.43,113.720001,113.43,113.43,1,113.43
2010-01-11,114.400002,114.400002,113.489998,113.489998,1275,113.489998
2010-01-12,112.309998,113.620003,111.639999,111.639999,18,111.639999
2010-01-13,112.260002,112.260002,111.610001,112.260002,1,112.260002
2010-01-14,112.82,112.910004,112.769997,112.769997,140,112.769997
2010-01-15,110.620003,112.699997,110.620003,110.620003,1,110.620003
2010-01-18,111.349998,111.349998,111.129997,111.349998,1,111.349998
2010-01-19,112.5,112.5,110.949997,112.25,35,112.25
2010-01-20,110,111.839996,110,110.019997,100,110.019997
2010-01-21,108.709999,110.650002,107.970001,107.970001,18,107.970001
2010-01-22,107.660004,107.660004,107.029999,107.029999,15,107.029999
2010-01-25,106.110001,106.110001,105.650002,105.650002,18,105.650002
2010-01-26,105.25,106.879997,105.25,106.879997,2,106.879997
2010-01-27,105.639999,106.029999,105.639999,106.029999,470,106.029999
2010-01-28,107.339996,107.339996,104.620003,104.620003,2,104.620003
2010-01-29,105.239998,105.660004,105.239998,105.660004,2,105.660004
2010-02-01,104.980003,106.269997,104.980003,106.269997,2,106.269997
